Iteration, eigenvalue, x_factor, lambda_factor, norm_x_change, gradient_lambda
 20101, 0.2571791, -0.0913061, 0.3484851, 0.0001269, 0.4538649
 20201, 0.2579524, -0.0905568, 0.3485092, 0.0001261, 0.4481272
 20301, 0.2584791, -0.0897878, 0.3482670, 0.0001254, 0.4421987
 20401, 0.2587480, -0.0889989, 0.3477468, 0.0001249, 0.4360717
 20501, 0.2587468, -0.0881898, 0.3469365, 0.0001243, 0.4297385
 20601, 0.2584637, -0.0873609, 0.3458246, 0.0001239, 0.4231927
 20701, 0.2578875, -0.0865128, 0.3444004, 0.0001234, 0.4164288
 20801, 0.2570073, -0.0856467, 0.3426540, 0.0001230, 0.4094430
 20901, 0.2558110, -0.0847639, 0.3405749, 0.0001226, 0.4022303
 21001, 0.2542860, -0.0838661, 0.3381521, 0.0001225, 0.3947861
 21101, 0.2524206, -0.0829555, 0.3353761, 0.0001227, 0.3871071
 21201, 0.2502053, -0.0820350, 0.3322403, 0.0001232, 0.3791936
 21301, 0.2476369, -0.0811084, 0.3287453, 0.0001241, 0.3710539
 21401, 0.2447308, -0.0801808, 0.3249116, 0.0001247, 0.3627180
 21501, 0.2415224, -0.0792584, 0.3207807, 0.0001246, 0.3542376
 21601, 0.2380502, -0.0783465, 0.3163968, 0.0001241, 0.3456648
 21701, 0.2343436, -0.0774495, 0.3117931, 0.0001233, 0.3370386
 21801, 0.2304222, -0.0765704, 0.3069925, 0.0001224, 0.3283846
 21901, 0.2262992, -0.0757114, 0.3020105, 0.0001214, 0.3197198
 22001, 0.2219831, -0.0748744, 0.2968575, 0.0001206, 0.3110552
 22101, 0.2174806, -0.0740609, 0.2915416, 0.0001200, 0.3023990
 22201, 0.2128003, -0.0732728, 0.2860731, 0.0001195, 0.2937616
 22301, 0.2079545, -0.0725117, 0.2804662, 0.0001191, 0.2851563
 22401, 0.2029618, -0.0717796, 0.2747414, 0.0001186, 0.2766027
 22501, 0.1978475, -0.0710781, 0.2689256, 0.0001174, 0.2681258
 22601, 0.1926367, -0.0704078, 0.2630444, 0.0001156, 0.2597485
 22701, 0.1873453, -0.0697683, 0.2571136, 0.0001136, 0.2514831
 22801, 0.1819799, -0.0691588, 0.2511386, 0.0001116, 0.2433318
 22901, 0.1765436, -0.0685782, 0.2451218, 0.0001096, 0.2352935
 23001, 0.1710377, -0.0680257, 0.2390634, 0.0001076, 0.2273651
 23101, 0.1654651, -0.0675002, 0.2329653, 0.0001057, 0.2195454
 23201, 0.1598276, -0.0670008, 0.2268284, 0.0001039, 0.2118323
 23301, 0.1541277, -0.0665267, 0.2206544, 0.0001021, 0.2042243
 23401, 0.1483686, -0.0660771, 0.2144457, 0.0001002, 0.1967208
 23501, 0.1425528, -0.0656513, 0.2082041, 0.0000985, 0.1893206
 23601, 0.1366832, -0.0652485, 0.2019317, 0.0000967, 0.1820228
 23701, 0.1307629, -0.0648680, 0.1956309, 0.0000950, 0.1748268
 23801, 0.1247946, -0.0645091, 0.1893037, 0.0000933, 0.1677317
 23901, 0.1187812, -0.0641712, 0.1829524, 0.0000916, 0.1607369
 24001, 0.1127256, -0.0638537, 0.1765793, 0.0000900, 0.1538417
 24101, 0.1066303, -0.0635557, 0.1701861, 0.0000884, 0.1470450
 24201, 0.1004982, -0.0632769, 0.1637751, 0.0000868, 0.1403464
 24301, 0.0943317, -0.0630165, 0.1573482, 0.0000852, 0.1337449
 24401, 0.0881335, -0.0627740, 0.1509075, 0.0000836, 0.1272398
 24501, 0.0819058, -0.0625488, 0.1444546, 0.0000821, 0.1208299
 24601, 0.0756511, -0.0623403, 0.1379914, 0.0000806, 0.1145147
 24701, 0.0693715, -0.0621480, 0.1315195, 0.0000791, 0.1082929
 24801, 0.0630690, -0.0619713, 0.1250404, 0.0000777, 0.1021634
 24901, 0.0567457, -0.0618098, 0.1185555, 0.0000763, 0.0961253
 25001, 0.0504035, -0.0616629, 0.1120663, 0.0000749, 0.0901775
 25101, 0.0440442, -0.0615301, 0.1055743, 0.0000735, 0.0843187
 25201, 0.0376697, -0.0614109, 0.0990806, 0.0000722, 0.0785480
 25301, 0.0312816, -0.0613048, 0.0925864, 0.0000709, 0.0728640
 25401, 0.0248816, -0.0612115, 0.0860932, 0.0000696, 0.0672657
 25501, 0.0184714, -0.0611305, 0.0796018, 0.0000683, 0.0617518
 25601, 0.0120522, -0.0610612, 0.0731134, 0.0000671, 0.0563210
 25701, 0.0056257, -0.0610033, 0.0666290, 0.0000659, 0.0509721
 25801, -0.0008067, -0.0609565, 0.0601498, 0.0000647, 0.0457039
 25901, -0.0072433, -0.0609202, 0.0536769, 0.0000636, 0.0405152
 26001, -0.0136828, -0.0608942, 0.0472114, 0.0000625, 0.0354047
 26101, -0.0201235, -0.0608781, 0.0407546, 0.0000614, 0.0303712
 26201, -0.0265634, -0.0608715, 0.0343080, 0.0000604, 0.0254135
 26301, -0.0330007, -0.0608741, 0.0278734, 0.0000593, 0.0205305
 26401, -0.0394325, -0.0608857, 0.0214532, 0.0000583, 0.0157212
 26501, -0.0458550, -0.0609060, 0.0150510, 0.0000573, 0.0109845
 26601, -0.0522618, -0.0609350, 0.0086732, 0.0000563, 0.0063201
 26701, -0.0586394, -0.0609730, 0.0023335, 0.0000552, 0.0017282
